TaxonUsageID;TaxonName;NameAuthor;SYNONYM;TaxonConceptID;TaxonConcept;VernacularName;TaxonRank;GRUPPE;IsChildTaxonOfID;IsChildTaxonOf;NACHWEIS;AccordingTo;HYBRID;BEGRUEND;EDITSTATUS;EuroMed
0;Planta;;0;0;Planta;Pflanze;ROOT;S;0;Planta;GermanSL;"APG IV";0;;"APG IV";
1;"Abies alba";Mill.;0;1;"Abies alba";"Weiß-Tanne";SPE;S;60596;Abies;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";6a8e85bd-5e52-4ae2-9444-99128c87a672
2;"Abutilon theophrasti";Medik.;0;2;"Abutilon theophrasti";"Chinesische Samtpappel";SPE;S;61062;Abutilon;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";008bc70d-6e25-44ea-aae3-7e51258678bf
6;"Acer campestre";L.;0;6;"Acer campestre";Feld-Ahorn;SPE;S;60602;Acer;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";960ff0e5-e8f8-4b8b-952e-974bf6b48cc2
7;"Acer monspessulanum";L.;0;7;"Acer monspessulanum";"Französischer Ahorn";SPE;S;60602;Acer;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";12709da0-5ac8-4275-9a03-0598459cb132
8;"Acer negundo";L.;0;8;"Acer negundo";Eschen-Ahorn;SPE;S;60602;Acer;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";fcc48b38-1691-4e2d-9489-22930ffcb24e
9;"Acer opalus agg.";Mill.;0;9;"Acer opalus agg.";"";AGG;S;60602;Acer;Florkart;"Ehrendorfer (1973)";"";;Ergaenzung;
13;"Acer opalus";Mill.;0;13;"Acer opalus";"Schneeballblättriger Ahorn";SPE;S;60602;Acer;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";4a75b5cd-2c06-4ad5-a17a-f8b1c536e153
14;"Acer platanoides";L.;0;14;"Acer platanoides";Spitz-Ahorn;SPE;S;60602;Acer;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";a3f8eb43-4a2c-469e-9e5a-9821d6e4226b
15;"Acer pseudoplatanus";L.;0;15;"Acer pseudoplatanus";Berg-Ahorn;SPE;S;60602;Acer;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";4fd5b4a0-288f-4ff5-b4ed-ab32d5271bdb
16;"Acer tataricum";L.;0;16;"Acer tataricum";"";SPE;S;60602;Acer;"";EuroMed2019;0;;Ergaenzung;9d434fb2-c669-484d-a2aa-6a718e848679
17;"Aceras anthropophorum";"(L.) R. Br.";1;32133;"Orchis anthropophora";Ohnsporn;SPE;S;;;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";bcf65820-8f55-4d79-b2d4-2fd41e152ede
18;"Achillea atrata agg.";"";0;18;"Achillea atrata agg.";"";AGG;S;60728;Achillea;Florkart;"Ehrendorfer (1973)";"";;Ergaenzung;
19;"Achillea atrata";L.;0;19;"Achillea atrata";"Schwarzrandige Schafgarbe";SPE;S;60728;Achillea;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";c14e1694-58a0-435e-b62e-031a5ab71bb2
21;"Achillea clavenae";L.;0;21;"Achillea clavenae";"Bittere Schafgarbe";SPE;S;60728;Achillea;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";
22;"Achillea crithmifolia";"Waldst. & Kit.";0;22;"Achillea crithmifolia";"Meerfenchelblättrige Schafgarbe";SPE;S;60728;Achillea;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";a10a2c86-9bd4-4ba4-a2ac-7992778c41b9
26;"Achillea macrophylla";L.;0;26;"Achillea macrophylla";"Großblättrige Schafgarbe";SPE;S;60728;Achillea;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";c0647628-98f5-4987-8b9a-bc6d3a3034f7
27;"Achillea millefolium agg.";"";0;27;"Achillea millefolium agg.";"Artengruppe Wiesen-Schafgarbe";AGG;S;60728;Achillea;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";
29;"Achillea collina";"(Becker ex Wirtg.) Heimerl";0;29;"Achillea collina";"Hügel-Wiesenschafgarbe";SPE;S;27;"Achillea millefolium agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";f0eac0d9-475b-4ceb-91db-b598bdec54c6
31;"Achillea millefolium";L.;0;31;"Achillea millefolium";"Gewöhnliche Wiesen-Schafgarbe";SPE;S;27;"Achillea millefolium agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";041a498c-34cb-439b-8baa-cc99d20cf4ca
32;"Achillea millefolium subsp. millefolium";"";0;32;"Achillea millefolium subsp. millefolium";"Gewöhnliche Wiesen-Schafgarbe i.e.S.";SSP;S;31;"Achillea millefolium";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";a904fffb-8e8e-4b3a-9ea6-84419bd80152
33;"Achillea millefolium subsp. sudetica";"(Opiz) Oborny";0;33;"Achillea millefolium subsp. sudetica";Sudeten-Wiesenschafgarbe;SSP;S;31;"Achillea millefolium";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";cf1fd385-98e6-4083-8c58-9eb4add7cc5b
34;"Achillea pannonica";Scheele;0;34;"Achillea pannonica";"Ungarische Wiesen-Schafgarbe";SPE;S;27;"Achillea millefolium agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";8f3bbd5f-48fe-4426-814f-65380eabf5db
35;"Achillea roseoalba";Ehrend.;0;35;"Achillea roseoalba";"Blaßrote Wiesen-Schafgarbe";SPE;S;27;"Achillea millefolium agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";55b8a75f-4e27-4b1f-a53f-1dc5010a49fd
36;"Achillea setacea";"Waldst. & Kit.";0;36;"Achillea setacea";"Feinblättrige Wiesen-Schafgarbe";SPE;S;27;"Achillea millefolium agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";14b1d668-b57a-45a3-8591-ee04fd77fe47
39;"Achillea nobilis";L.;0;39;"Achillea nobilis";"Edle Schafgarbe";SPE;S;60728;Achillea;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";8d443b03-07a4-4a85-b950-5c3df3e477b4
42;"Achillea ptarmica agg.";"";0;42;"Achillea ptarmica agg.";"Artengruppe Sumpf-Schafgarbe";AGG;S;60728;Achillea;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";
43;"Achillea cartilaginea";"Ledeb. ex Rchb.";1;27369;"Achillea salicifolia";;SPE;S;;;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";
44;"Achillea ptarmica";L.;0;44;"Achillea ptarmica";"Gewöhnliche Sumpf-Schafgarbe";SPE;S;42;"Achillea ptarmica agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";f13a6192-e37f-4534-89cf-f58e5f3dd226
47;"Achnatherum calamagrostis";"(L.) P. Beauv.";0;47;"Achnatherum calamagrostis";Silber-Raugras;SPE;S;61355;Achnatherum;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";73d36106-9a9c-45a7-9b08-dc8a73f32a58
48;"Acinos alpinus";"(L.) Moench";0;48;"Acinos alpinus";Alpen-Steinquendel;SPE;S;60944;Acinos;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";43c303bb-8991-4b75-997f-36cd2e91fc0c
49;"Acinos arvensis";"(Lam.) Dandy";0;49;"Acinos arvensis";Feld-Steinquendel;SPE;S;60944;Acinos;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";5817e8c2-15a5-4c8c-83e0-1ed31ffadb65
52;"Aconitum napellus s. l.";L.;1;24977;"Aconitum napellus agg.";;SPE;S;;;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";
53;"Aconitum napellus subsp. hians";"(Rchb.) Gáyer";1;14276;"Aconitum plicatum";;SSP;S;;;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";8e6972ed-071e-4ed2-ad72-9d0dbbff51d5
54;"Aconitum napellus subsp. neomontanum";"(Wulfen) Gáyer";1;20111;"Aconitum napellus subsp. lusitanicum";;SSP;S;;;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";e5d8a826-ce98-4b1f-90a0-3a1ccb6f8d14
55;"Aconitum napellus subsp. tauricum";"(Wulfen) Gáyer";1;20116;"Aconitum tauricum";Hochgebirgs-Eisenhut;SSP;S;;;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";3d771045-adbc-461e-8ee8-dfa073bc4ed4
57;"Aconitum variegatum agg.";"";0;57;"Aconitum variegatum agg.";"";AGG;S;61135;Aconitum;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";
58;"Aconitum paniculatum";auct.;1;14231;"Aconitum degenii";;SPE;S;;;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";
59;"Aconitum paniculatum subsp. paniculatum";auct.;1;14231;"Aconitum degenii";;SSP;S;;;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";
61;"Aconitum variegatum";L.;0;61;"Aconitum variegatum";"Bunter Eisenhut";SPE;S;57;"Aconitum variegatum agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";f4d3e61f-2671-4646-9b1e-b0e7d3d29795
63;"Aconitum variegatum subsp. variegatum";"";1;61;"Aconitum variegatum";"Gewöhnlicher Bunter Eisenhut";SSP;S;;;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";b2e413c9-9b94-4295-b99f-a337fe4b1ac2
68;"Aconitum vulparia";Rchb.;1;14242;"Aconitum lycoctonum";;SPE;S;;;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";29a029d1-e473-41a3-bb10-082e5b206d51
69;"Acorus calamus";L.;0;69;"Acorus calamus";Kalmus;SPE;S;61329;Acorus;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";10188cbd-a2b3-45c2-88c5-6354bc86a3d2
70;"Actaea spicata";L.;0;70;"Actaea spicata";Christophskraut;SPE;S;61136;Actaea;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";bec2627d-e78f-4082-9d8b-ca6ee3dcfa13
71;"Adenophora liliifolia";"(L.) Fisch. ex A. DC.";0;71;"Adenophora liliifolia";Becherglocke;SPE;S;60654;Adenophora;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";07955bd4-ee28-4806-b677-f43413fa8a4e
72;"Adenostyles alliariae";"(Gouan) A. Kern.";0;72;"Adenostyles alliariae";"Grauer Alpendost";SPE;S;60730;Adenostyles;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";266a73e5-f78f-4111-bef5-0836d3c9ed85
73;"Adenostyles glabra";"(Mill.) DC.";1;26918;"Adenostyles alpina";;SPE;S;;;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";17457b44-2dde-40fe-a0c2-2ab5a314a167
76;"Adonis aestivalis";L.;0;76;"Adonis aestivalis";;SPE;S;61137;Adonis;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";746c14e0-9e54-4303-9477-89e7b4dd724b
77;"Adonis annua";L.;0;77;"Adonis annua";;SPE;S;61137;Adonis;"Jäger & Werner (2005)";"Jäger & Werner (2005)";0;;Ergaenzung;f94bca2e-aad2-48d0-a065-b7803ca39e5c
78;"Adonis flammea";Jacq.;0;78;"Adonis flammea";;SPE;S;61137;Adonis;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";b250fa39-a071-41b1-88bf-c66a1003618b
80;"Adonis vernalis";L.;0;80;"Adonis vernalis";"Frühlings-Adonisröschen";SPE;S;61137;Adonis;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";87db06f8-c0de-434d-bbfb-ca4a641c2cf9
81;"Adoxa moschatellina";L.;0;81;"Adoxa moschatellina";Moschuskraut;SPE;S;60603;Adoxa;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";857aee32-0df6-454f-b0a9-ba787652b40b
82;"Aegilops cylindrica";Host;0;82;"Aegilops cylindrica";"";SPE;S;61356;Aegilops;"";EuroMed2019;0;;Ergaenzung;b3297a1f-7052-4bb7-94e2-bf12e323a314
87;"Aegopodium podagraria";L.;0;87;"Aegopodium podagraria";Giersch;SPE;S;61249;Aegopodium;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";edb43413-f484-4952-823a-6e467eddf632
89;"Aesculus hippocastanum";L.;0;89;"Aesculus hippocastanum";"";SPE;S;60938;Aesculus;"";EuroMed2019;0;;Ergaenzung;04370b22-8592-46a3-896f-2fccb8bae0c6
91;"Aethionema saxatile agg.";"";0;91;"Aethionema saxatile agg.";"";AGG;S;60827;Aethionema;Florkart;"Ehrendorfer (1973)";"";;Ergaenzung;
92;"Aethionema saxatile";"(L.) R. Br.";0;92;"Aethionema saxatile";"Steintäschel";SPE;S;60827;Aethionema;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";0e12bfa6-162b-42e2-93bb-36c1a99748be
94;"Aethusa cynapium";L.;0;94;"Aethusa cynapium";Hundspetersilie;SPE;S;61250;Aethusa;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";effc04e6-d2d6-4f52-83ae-e0c461f2395c
95;"Aethusa cynapium subsp. agrestis";"(Wallr.) Dostál";1;97;"Aethusa cynapium subsp. cynapium";;SSP;S;;;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";c055f171-7bc0-41ab-a2e9-11cc67b0e05b
96;"Aethusa cynapium subsp. cynapioides";auct.;1;7485;"Aethusa cynapium subsp. elata";;SSP;S;;;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";b98a6a5d-06a7-412a-8901-a3911df7e034
97;"Aethusa cynapium subsp. cynapium";"";0;97;"Aethusa cynapium subsp. cynapium";Acker-Hundspetersilie;SSP;S;94;"Aethusa cynapium";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";0ef3c49d-f8e0-428f-8dc6-98da7fc400ee
99;"Agrimonia eupatoria";L.;0;99;"Agrimonia eupatoria";;SPE;S;61158;Agrimonia;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";752bc9f1-08f5-40fe-959c-948a99f636ad
100;"Agrimonia eupatoria subsp. eupatoria";"";0;100;"Agrimonia eupatoria subsp. eupatoria";"Kleiner Odermennig";SSP;S;99;"Agrimonia eupatoria";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";3645ea77-db32-411c-ae1f-bc155cd4f61e
102;"Agrimonia procera";Wallr.;0;102;"Agrimonia procera";"Großer Odermennig";SPE;S;61158;Agrimonia;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";c755d68e-670d-469c-9bd5-005f7c818c42
103;"Agropyron caninum";"(L.) P. Beauv.";1;20145;"Elymus caninus";;SPE;S;;;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";7ba03c28-6cad-4b89-8d37-9492eef7faca
106;"Agropyron intermedium";"(Host) P. Beauv.";1;20150;"Elymus hispidus";;SPE;S;;;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";694ce41c-effb-4df8-8958-97b463f84089
109;"Agropyron junceiforme";"Á. Löve & D. Löve";1;29642;"Elymus junceiformis";;SPE;S;;;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";ffed422c-f1ca-484a-8a62-2576d20b6e09
110;"Agropyron junceum";"(L.) P. Beauv.";1;98999;"Elytrigia juncea";"";SPE;S;;;"BfN(Wisskirchen u. Haeupler 1998)";"BfN(Wisskirchen u. Haeupler 1998)";0;;Ergaenzung;
114;"Agropyron pungens";auct.;1;27782;"Elymus athericus";;SPE;S;;;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";f67ab713-361e-4603-a16c-7ee22ec1a9fe
115;"Agropyron repens";"(L.) P. Beauv.";1;27778;"Elymus repens s. str.";;SPE;S;;;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";2789854a-8747-41f3-bc2c-1d3896508947
116;"Agrostemma githago";L.;0;116;"Agrostemma githago";Kornrade;SPE;S;60669;Agrostemma;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";56e88af8-6293-4ad3-869c-267de6b805ec
117;"Agrostis alpina agg.";"";0;117;"Agrostis alpina agg.";"Artengruppe Alpen-Straußgras";AGG;S;61358;Agrostis;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";
118;"Agrostis alpina";Scop.;0;118;"Agrostis alpina";"Alpen-Straußgras";SPE;S;117;"Agrostis alpina agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";4e8fea52-8414-4d5c-9c83-77ff95d45e21
119;"Agrostis schleicheri";"Jord. & Verl.";0;119;"Agrostis schleicheri";"Pyrenäen-Straußgras";SPE;S;117;"Agrostis alpina agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";d25542c3-c93d-4d23-b85a-6d4945dce20c
120;"Agrostis canina agg.";"";0;120;"Agrostis canina agg.";"Artengruppe Sumpf-Straußgras";AGG;S;61358;Agrostis;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";
121;"Agrostis canina";L.;0;121;"Agrostis canina";"Sumpf-Straußgras";SPE;S;120;"Agrostis canina agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";87065b96-57b6-4829-8eb9-ab15e74aa450
122;"Agrostis stricta";"J. F. Gmel.";1;20684;"Agrostis vinealis";;SPE;S;;;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";ce8027e5-7852-4c57-ac25-f07e5b3e89d7
123;"Agrostis castellana";"Boiss. & Reut.";0;123;"Agrostis castellana";"Kastilisches Straußgras";SPE;S;61358;Agrostis;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";73aca3cc-4c64-4603-be40-67f6734a6d3b
124;"Agrostis rupestris";All.;0;124;"Agrostis rupestris";"Felsen-Straußgras";SPE;S;61358;Agrostis;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";691306c7-5fa2-4c74-aafc-68cda267deda
125;"Agrostis scabra";Willd.;0;125;"Agrostis scabra";"Rauhes Straußgras";SPE;S;61358;Agrostis;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";2d01b7d0-4e20-48a6-8bd2-b80be11b0068
126;"Agrostis schraderiana";Bech.;0;126;"Agrostis schraderiana";"Schilf-Straußgras";SPE;S;61358;Agrostis;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";6340c6bf-c345-4f3d-ac8d-9b6bbc4cb780
127;"Agrostis stolonifera agg.";"";0;127;"Agrostis stolonifera agg.";"Artengruppe Weißes Straußgras";AGG;S;61358;Agrostis;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";
128;"Agrostis gigantea";Roth;0;128;"Agrostis gigantea";;SPE;S;127;"Agrostis stolonifera agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";bd3e4158-c607-439b-b294-9b7b9b770ccd
129;"Agrostis stolonifera";L.;0;129;"Agrostis stolonifera";;SPE;S;127;"Agrostis stolonifera agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";ca9cb110-f054-4d61-b81f-e1cc20d0eecb
130;"Agrostis tenuis";Sibth.;1;20178;"Agrostis capillaris";;SPE;S;;;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";fc97abc4-7049-4b4f-ae2a-22c53411c96b
131;"Ailanthus altissima";"(Mill.) Swingle";0;131;"Ailanthus altissima";"Götterbaum";SPE;S;61227;Ailanthus;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";c714c98e-b122-4e9a-a017-ddb692204673
132;"Aira caryophyllea agg.";"";1;26920;"Aira caryophyllea s. l.";;AGG;S;;;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";
133;"Aira caryophyllea s. str.";L.;1;20218;"Aira caryophyllea subsp. caryophyllea";;SPE;S;;;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";
134;"Aira multiculmis";Dumort.;1;30254;"Aira caryophyllea subsp. plesiantha";;SPE;S;;;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";69449142-e4c8-490d-938e-e8c53518b1c7
136;"Aira praecox";L.;0;136;"Aira praecox";"Frühe Haferschmiele";SPE;S;61359;Aira;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";032b389f-a63d-4c13-b6bb-75f6f9238532
137;"Ajuga chamaepitys";"(L.) Schreb.";0;137;"Ajuga chamaepitys";"Gelber Günsel";SPE;S;60945;Ajuga;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";c6524b0d-bca1-4df3-85dc-9f8ea951349e
138;"Ajuga genevensis";L.;0;138;"Ajuga genevensis";"Genfer Günsel";SPE;S;60945;Ajuga;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";98def393-5467-4daa-a48d-f78a4ab144e3
140;"Ajuga pyramidalis";L.;0;140;"Ajuga pyramidalis";"Pyramiden-Günsel";SPE;S;60945;Ajuga;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";83f6b2fd-4c58-4f75-8bfa-6339312f8b7e
141;"Ajuga reptans";L.;0;141;"Ajuga reptans";"Kriechender Günsel";SPE;S;60945;Ajuga;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";4f859922-c9a1-4250-a243-30e094d4a484
143;"Alcea rosea";L.;0;143;"Alcea rosea";"";SPE;S;61523;Alcea;Florkart;"Jäger & Werner (2005)";"";;Ergaenzung;a6a2b28e-241f-4fc0-9bd4-1eecf1e09983
144;"Alchemilla alpina agg.";"";0;144;"Alchemilla alpina agg.";"Artengruppe Alpen-Frauenmantel";AGG;S;61159;Alchemilla;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";
145;"Alchemilla alpina";L.;0;145;"Alchemilla alpina";Alpen-Frauenmantel;SPE;S;144;"Alchemilla alpina agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";10024633-457b-494b-95d8-275b795e36f4
154;"Alchemilla conjuncta agg.";"";0;154;"Alchemilla conjuncta agg.";"Artengruppe Verbundener Frauenmantel";AGG;S;61159;Alchemilla;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";
165;"Alchemilla grossidens";auct.;1;172;"Alchemilla pallens";"Grobzähniger Frauenmantel";SPE;S;;;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";5a9cd607-d2c3-4a2e-91bd-b4edbef57a40
166;"Alchemilla hoppeana";"(Rchb.) Dalla Torre";0;166;"Alchemilla hoppeana";"Hoppes Frauenmantel";SPE;S;154;"Alchemilla conjuncta agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";9cd7f6e7-73aa-474a-8ad8-7134f30f8c02
172;"Alchemilla pallens";Buser;0;172;"Alchemilla pallens";"Bleicher Frauenmantel";SPE;S;154;"Alchemilla conjuncta agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";3aae59b0-7782-46ba-b056-3422e6768213
175;"Alchemilla plicatula";auct.;1;20239;"Alchemilla alpigena";;SPE;S;;;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";
177;"Alchemilla fissa agg.";"";0;177;"Alchemilla fissa agg.";"Artengruppe Zerschlitzter Frauenmantel";AGG;S;61159;Alchemilla;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";
178;"Alchemilla cuspidens";Buser;1;26759;"Alchemilla sericoneura";"Scharfzähniger Frauenmantel";SPE;S;;;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";9add991a-01c8-447d-8d01-695f45eee246
179;"Alchemilla fallax";Buser;0;179;"Alchemilla fallax";"Täuschender Frauenmantel";SPE;S;177;"Alchemilla fissa agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";5cdf979a-59cb-4298-ae0f-668d59625c88
180;"Alchemilla fissa";"Günther & Schummel";0;180;"Alchemilla fissa";"Zerschlitzter Frauenmantel";SPE;S;177;"Alchemilla fissa agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";6a7a44fa-2381-4d45-bff3-2e484465099c
183;"Alchemilla incisa";Buser;0;183;"Alchemilla incisa";"Eingeschnittener Frauenmantel";SPE;S;177;"Alchemilla fissa agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";7c2d08e8-373c-4a13-a7c6-4749b217b40c
185;"Alchemilla othmarii";Buser;0;185;"Alchemilla othmarii";"Othmars Frauenmantel";SPE;S;177;"Alchemilla fissa agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";77bb9d42-74f5-465e-815e-d355723c447d
186;"Alchemilla pyrenaica";Dufour;1;180;"Alchemilla fissa";;SPE;S;;;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";64fbd4f8-29ab-43ba-9f66-76baf062e5c0
190;"Alchemilla hybrida agg.";"";0;190;"Alchemilla hybrida agg.";"Artengruppe Bastard-Frauenmantel";AGG;S;61159;Alchemilla;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";
192;"Alchemilla colorata";Buser;0;192;"Alchemilla colorata";"Geröteter Frauenmantel";SPE;S;190;"Alchemilla hybrida agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";73f4b9c9-3df5-45b9-8a3d-9b8f147de04b
193;"Alchemilla exigua";"Buser ex Paulin";0;193;"Alchemilla exigua";"Kleiner Frauenmantel";SPE;S;190;"Alchemilla hybrida agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";4aa1cdac-39b3-4367-a6e4-101a8a69aa80
194;"Alchemilla flabellata";Buser;0;194;"Alchemilla flabellata";"Fächer-Frauenmantel";SPE;S;190;"Alchemilla hybrida agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";25a812a7-2cf7-4bee-9138-35b3d7a92c66
195;"Alchemilla glaucescens";Wallr.;0;195;"Alchemilla glaucescens";Bastard-Frauenmantel;SPE;S;190;"Alchemilla hybrida agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";8fad497d-fadc-468d-bbbd-34e70423d5a5
198;"Alchemilla plicata";Buser;0;198;"Alchemilla plicata";"Gefalteter Frauenmantel";SPE;S;190;"Alchemilla hybrida agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";fd871df7-9641-48e1-b193-90c90c88a095
200;"Alchemilla mollis";"(Buser) Rothm.";0;200;"Alchemilla mollis";"Weicher Frauenmantel";SPE;S;61159;Alchemilla;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";1ad1c1f7-e308-4307-8d9a-8bee0cc9cb7d
202;"Alchemilla splendens agg.";"";0;202;"Alchemilla splendens agg.";"Artengruppe Schimmernder Frauenmantel";AGG;S;61159;Alchemilla;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";
205;"Alchemilla kerneri";auct.;1;208;"Alchemilla splendens";"Kerners Frauenmantel";SPE;S;;;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";9fcc53d1-c96c-4f67-85ca-ab3e054b9a62
208;"Alchemilla splendens";Christ;0;208;"Alchemilla splendens";"Schimmernder Frauenmantel";SPE;S;202;"Alchemilla splendens agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";d973e79e-7b75-46e3-803b-a35b5b036de2
209;"Alchemilla vulgaris agg.";"";0;209;"Alchemilla vulgaris agg.";"Artengruppe Gewöhnlicher Frauenmantel";AGG;S;61159;Alchemilla;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";
212;"Alchemilla acutiloba";Opiz;1;26467;"Alchemilla vulgaris";;SPE;S;;;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";6d7f10fd-1a21-406c-b3f1-b99978942be6
214;"Alchemilla cleistophylla";"Rothm. & O. Schwarz";1;216;"Alchemilla connivens";"Allgäu-Frauenmantel";SPE;S;;;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";7f2842c6-30ba-4421-ac0e-c8632091b3b7
215;"Alchemilla compta";Buser;0;215;"Alchemilla compta";"Gekämmter Frauenmantel";SPE;S;209;"Alchemilla vulgaris agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";68e6db51-68ef-414a-be69-6f4a1e9448d3
