TaxonUsageID;TaxonName;NameAuthor;SYNONYM;TaxonConceptID;TaxonConcept;VernacularName;TaxonRank;GRUPPE;IsChildTaxonOfID;IsChildTaxonOf;NACHWEIS;AccordingTo;HYBRID;BEGRUEND;EDITSTATUS;EuroMed
2525;"Galeopsis speciosa";Mill.;0;2525;"Galeopsis speciosa";"Bunter Hohlzahn";SPE;S;60952;Galeopsis;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";d1c04e52-2790-402a-a109-a14f2564ccef
2526;"Galeopsis tetrahit agg.";"";0;2526;"Galeopsis tetrahit agg.";;AGG;S;60952;Galeopsis;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";
2527;"Galeopsis bifida";Boenn.;0;2527;"Galeopsis bifida";"Zweispaltiger Hohlzahn";SPE;S;2526;"Galeopsis tetrahit agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";a5494443-ee16-493b-af1c-778137afc376
2528;"Galeopsis tetrahit";L.;0;2528;"Galeopsis tetrahit";"Gewöhnlicher Hohlzahn";SPE;S;2526;"Galeopsis tetrahit agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";8c9e336e-7aa0-428d-a661-f69fde34406a
2529;"Galinsoga ciliata";"(Raf.) S. F. Blake";1;21956;"Galinsoga quadriradiata s. str.";"Behaartes Franzosenkraut";SPE;S;;;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";a7542d56-58d3-4603-8eed-cccb4f7f257e
2530;"Galinsoga parviflora";Cav.;0;2530;"Galinsoga parviflora";"Kleinblütiges Franzosenkraut";SPE;S;60735;Galinsoga;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";9e4a1743-c797-4e3c-a3d0-cd11b55b8184
2532;"Galium aparine agg.";"";0;2532;"Galium aparine agg.";"Artengruppe Kletten-Labkraut";AGG;S;61188;Galium;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";
2533;"Galium aparine";L.;0;2533;"Galium aparine";"Gewöhnliches Kletten-Labkraut";SPE;S;2532;"Galium aparine agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";e8873a94-816e-4ae4-949f-0fb1965d467a
2534;"Galium spurium";L.;0;2534;"Galium spurium";"Kleinfrüchtiges Kletten-Labkraut";SPE;S;2532;"Galium aparine agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";c1a058de-7426-48a2-a0fa-d7820123f953
2535;"Galium baldense agg.";"";0;2535;"Galium baldense agg.";"";AGG;S;61188;Galium;Florkart;"Ehrendorfer (1973)";"";;Ergaenzung;
2539;"Galium boreale agg.";"";0;2539;"Galium boreale agg.";"";AGG;S;61188;Galium;Florkart;"Ehrendorfer (1973)";"";;Ergaenzung;
2540;"Galium boreale";L.;0;2540;"Galium boreale";;SPE;S;61188;Galium;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";75b0144e-a06a-4167-b608-f405d5bd7bbc
2542;"Galium glaucum";L.;0;2542;"Galium glaucum";"Blaugrünes Labkraut";SPE;S;61188;Galium;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";3eaf918d-ed81-425a-ae93-4f65b1e9854d
2543;"Galium harcynicum";Weigel;1;2585;"Galium saxatile";;SPE;S;;;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";cb70c753-18d0-431d-ad94-3e2a17d99d36
2544;"Galium helveticum agg.";"";0;2544;"Galium helveticum agg.";"";AGG;S;61188;Galium;Florkart;"Ehrendorfer (1973)";"";;Ergaenzung;
2545;"Galium megalospermum";All.;0;2545;"Galium megalospermum";"Schweizer Labkraut";SPE;S;61188;Galium;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";f13bc7e3-ddda-42f1-92e1-b491b54e8d05
2548;"Galium mollugo agg.";"";0;2548;"Galium mollugo agg.";"Artengruppe Wiesen-Labkraut";AGG;S;61188;Galium;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";
2549;"Galium album";Mill.;0;2549;"Galium album";"Großblütiges Wiesen-Labkraut";SPE;S;2548;"Galium mollugo agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";8b4ab82c-7df2-4e33-81dd-dc6cd391c7f0
2550;"Galium album subsp. album";"";0;2550;"Galium album subsp. album";"Großblütiges Wiesen-Labkraut i.e.S.";SSP;S;2549;"Galium album";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";252313fc-f41d-4b27-9b76-b164a07ede18
2551;"Galium album subsp. pycnotrichum";"(Heinr. Braun) Krendl";0;2551;"Galium album subsp. pycnotrichum";"Dichthaariges Wiesen-Labkraut";SSP;S;2549;"Galium album";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";a0174601-2265-4fb6-ad3d-bafa74907331
2553;"Galium lucidum";auct.;1;2550;"Galium album subsp. album";"Glänzendes Wiesen-Labkraut";SPE;S;;;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";82b0cd35-ea52-4905-87a7-0b4e4197fb6f
2555;"Galium mollugo s. str.";L.;0;2555;"Galium mollugo s. str.";"Kleinblütiges Wiesen-Labkraut";SPE;S;2548;"Galium mollugo agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";
2557;"Galium truniacum";"(Ronniger) Ronniger";0;2557;"Galium truniacum";Traunsee-Labkraut;SPE;S;2548;"Galium mollugo agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";b494e1d3-a2fe-4ae0-8704-0da8b2af5a4c
2559;"Galium noricum";Ehrend.;0;2559;"Galium noricum";"Norisches Labkraut";SPE;S;61188;Galium;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";2d927e57-648f-47a0-87ae-d62764c3dab8
2560;"Galium odoratum";"(L.) Scop.";0;2560;"Galium odoratum";Waldmeister;SPE;S;61188;Galium;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";ac35d849-c2bb-47b6-944e-444628c06e54
2561;"Galium palustre agg.";"";0;2561;"Galium palustre agg.";;AGG;S;61188;Galium;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";
2563;"Galium elongatum";"C. Presl";0;2563;"Galium elongatum";;SPE;S;2561;"Galium palustre agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";5c43df96-1313-4bf0-a929-b95280226eb0
2564;"Galium palustre s. l.";L.;1;2561;"Galium palustre agg.";;SPE;S;;;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";
2565;"Galium parisiense agg.";"";0;2565;"Galium parisiense agg.";"";AGG;S;61188;Galium;Florkart;"Ehrendorfer (1973)";"";;Ergaenzung;
2567;"Galium parisiense";L.;0;2567;"Galium parisiense";"Pariser Labkraut";SPE;S;61188;Galium;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";ac97ef6b-829e-446e-be03-fe4519baf064
2569;"Galium pusillum agg.";"";0;2569;"Galium pusillum agg.";"Artengruppe Zierliches Labkraut";AGG;S;61188;Galium;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";
2570;"Galium anisophyllon s. str.";Vill.;0;2570;"Galium anisophyllon s. str.";;SPE;S;2569;"Galium pusillum agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";
2572;"Galium pumilum s. str.";Murray;0;2572;"Galium pumilum s. str.";"Zierliches Labkraut";SPE;S;2569;"Galium pusillum agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";
2574;"Galium sterneri";Ehrend.;0;2574;"Galium sterneri";"Sterners Labkraut";SPE;S;2569;"Galium pusillum agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";1a9c5c68-5271-402a-b646-1630c7978588
2575;"Galium sudeticum";Tausch;0;2575;"Galium sudeticum";Sudeten-Labkraut;SPE;S;2569;"Galium pusillum agg.";Florkart;"Jäger & Werner (2005)";"";;Ergaenzung;1ff3f802-6802-4fa2-830a-f2251c4833e5
2576;"Galium suecicum";"(Sterner) Ehrend.";0;2576;"Galium suecicum";"Schwedisches Labkraut";SPE;S;2569;"Galium pusillum agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";0b7379ac-60a2-49c8-ac7e-01f99193aecd
2577;"Galium valdepilosum";"Heinr. Braun";0;2577;"Galium valdepilosum";"Mährisches Labkraut";SPE;S;2569;"Galium pusillum agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";95316615-719d-4798-bbe6-6ccfba188340
2579;"Galium rotundifolium";L.;0;2579;"Galium rotundifolium";"Rundblättriges Labkraut";SPE;S;61188;Galium;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";149e789e-5332-4924-b93d-5f20e609e6ff
2585;"Galium saxatile";L.;0;2585;"Galium saxatile";"Harzer Labkraut";SPE;S;61188;Galium;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";63edb393-82f4-42b5-b3b3-81fec02aa08b
2586;"Galium sylvaticum agg.";"";0;2586;"Galium sylvaticum agg.";"Artengruppe Wald-Labkraut";AGG;S;61188;Galium;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";
2588;"Galium aristatum";L.;0;2588;"Galium aristatum";Grannen-Labkraut;SPE;S;2586;"Galium sylvaticum agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";4bf5e45e-02a1-4a09-9f7a-a72174b38500
2590;"Galium schultesii";Vest;1;29573;"Galium intermedium";"Glattes Wald-Labkraut";SPE;S;;;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";e0d0f27c-ff21-4ed6-9f7e-646305bd9324
2591;"Galium sylvaticum s. str.";L.;0;2591;"Galium sylvaticum s. str.";"Gewöhnliches Wald-Labkraut";SPE;S;2586;"Galium sylvaticum agg.";"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";
2593;"Galium tricornutum";Dandy;0;2593;"Galium tricornutum";"Dreihörniges Labkraut";SPE;S;61188;Galium;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";b22ea3e6-4dd6-4644-815d-1355132412f8
2596;"Galium uliginosum";L.;0;2596;"Galium uliginosum";Moor-Labkraut;SPE;S;61188;Galium;"Buttler 2018";"Buttler 2018";0;;"Buttler 2018";0a44633e-9626-4b30-a1ac-ce9b09db76fe
